feature,importance_mean,importance_std
pH,1.6883523106575011,0.04619736325322954
topographic__elevation,1.467800211906433,0.03625300426536332
soil__transmissivity,0.2953852295875549,0.046546159409222146
cation__exchange_capacity,0.16944860219955443,0.00809495372892389
soil__thickness,0.06194111704826355,0.004163553687013656
sand__total,0.05805056095123291,0.0018378419824365436
silt__total,0.04988728761672974,0.0012538976888388706
soil__saturated_hydraulic_conductivity,0.04230801463127136,0.003921143126260057
saturated__water_content,0.03990030288696289,0.0035060436067931287
landcover,0.016109395027160644,0.0014149380836530352
dry__bulk_density,0.011145782470703126,0.0020202083910744917
clay__total,0.01069655418395996,0.0010907312017947558
vegetation__plant_functional_type,0.0043682694435119625,0.0002847345076799938
soil__maximum_total_cohesion,0.0024478018283843996,0.0002400616653478296
soil__minimum_total_cohesion,0.0009950339794158936,6.100331097113941e-05
soil__internal_friction_angle,0.0009071111679077148,0.00046605585475539667
soil__density,0.0005364656448364258,8.483044027623172e-05
field__capacity,2.02178955078125e-05,5.124252598327618e-06
burn__severity,0.0,0.0
porosity,0.0,0.0
soil__mode_total_cohesion,0.0,0.0
soil__texture,0.0,0.0
wilting__point,0.0,0.0
